id,source_neural_network,num_of_calls,parameters
#0,seresnet50_8xb32_cifar10,5,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#1,deeplabv3_r50-d8_512x512_80k_ade20k,40,"{'input': [[2, 150, 512, 512]], 'target': [[2, 512, 512]], 'weight': [None], 'size_average': [''], 'ignore_index': [255], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#2,shufflenet-v2-1x_16xb64_cifar10,5,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#3,faster_rcnn_r50_fpn_1x_coco,5,"{'input': [[512, 81]], 'target': [[512]], 'weight': [None], 'size_average': [''], 'ignore_index': [-100], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#4,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,5,"{'input': [[512, 81]], 'target': [[512]], 'weight': [None], 'size_average': [''], 'ignore_index': [-100], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#5,upernet_r50_512x512_80k_ade20k,40,"{'input': [[2, 150, 512, 512]], 'target': [[2, 512, 512]], 'weight': [None], 'size_average': [''], 'ignore_index': [255], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#6,densenet121_4xb256_cifar10,5,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#7,deeplabv3plus_r50-d8_512x512_80k_ade20k,40,"{'input': [[2, 150, 512, 512]], 'target': [[2, 512, 512]], 'weight': [None], 'size_average': [''], 'ignore_index': [255], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#8,stgcn_80e_ntu60_xsub_keypoint,80,"{'input': [[16, 60]], 'target': [[16]], 'weight': [''], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': [''], 'label_smoothing': ['']}"
#9,resnet18_8xb16_cifar10,5,"{'input': [[4, 10]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#10,mobilenet-v2_8xb32_cifar10,5,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#11,sar_r31_parallel_decoder_toy_dataset,126,"{'input': [[32, 92, 29]], 'target': [[32, 29]], 'weight': [None], 'size_average': [''], 'ignore_index': [92], 'reduce': [''], 'reduction': ['mean'], 'label_smoothing': [0.0]}"
#12,repvgg-A0_4xb64-coslr-120e_cifar10,20,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#13,upernet_vit-b16_ln_mln_512x512_160k_ade20k,20,"{'input': [[2, 150, 512, 512]], 'target': [[2, 512, 512]], 'weight': [None], 'size_average': [''], 'ignore_index': [255], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#14,cascade_rcnn_r50_fpn_1x_coco,15,"{'input': [[512, 81]], 'target': [[512]], 'weight': [None], 'size_average': [''], 'ignore_index': [-100], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#15,ssd300_coco,10,"{'input': [[8732, 81]], 'target': [[8732]], 'weight': [''], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#16,tsn_r50_1x1x3_75e_ucf101_rgb,75,"{'input': [[16, 101]], 'target': [[16]], 'weight': [''], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': [''], 'label_smoothing': ['']}"
#17,pspnet_unet_s5-d16_128x128_40k_chase_db1,20,"{'input': [[2, 2, 128, 128]], 'target': [[2, 128, 128]], 'weight': [None], 'size_average': [''], 'ignore_index': [255], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#18,efficientnet-b0_8xb32_cifar10,5,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#19,mask_rcnn_r50_fpn_1x_coco,5,"{'input': [[512, 81]], 'target': [[512]], 'weight': [None], 'size_average': [''], 'ignore_index': [-100], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#20,fcn_r50-d8_512x512_80k_ade20k,40,"{'input': [[2, 150, 512, 512]], 'target': [[2, 512, 512]], 'weight': [None], 'size_average': [''], 'ignore_index': [255], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
#21,vgg19bn_8xb32_cifar10,5,"{'input': [[4, 1000]], 'target': [[4]], 'weight': [None], 'size_average': [''], 'ignore_index': [''], 'reduce': [''], 'reduction': ['none'], 'label_smoothing': ['']}"
